adjacency	T030/T033	true
adjacency	T030/T034	true
adjacency	T030/T036	true
adjacency	T031/T044	true
adjacency	T032/T044	true
adjacency	T033/T041	true
adjacency	T034/T036	true
adjacency	T034/T037	true
adjacency	T034/T043	true
adjacency	T035/T036	true
adjacency	T035/T042	true
adjacency	T036/T043	true
adjacency	T036/T050	true
adjacency	T037/T040	true
adjacency	T037/T043	true
adjacency	T037/T046	true
adjacency	T037/T051	true
adjacency	T037/T052	true
adjacency	T040/T048	true
adjacency	T040/T051	true
adjacency	T040/T057	true
adjacency	T040/T081	true
adjacency	T041/T042	true
adjacency	T041/T076	true
adjacency	T042/T070	true
adjacency	T043/T050	true
adjacency	T043/T052	true
adjacency	T043/T067	true
adjacency	T044/T053	true
adjacency	T044/T094	true
adjacency	T044/T105	true
adjacency	T046/T051	true
adjacency	T046/T052	true
adjacency	T046/T064	true
adjacency	T048/T051	true
adjacency	T049/T060	true
adjacency	T049/T083	true
adjacency	T049/T114	true
adjacency	T050/T067	true
adjacency	T050/T101	true
adjacency	T051/T064	true
adjacency	T051/T078	true
adjacency	T051/T081	true
adjacency	T051/T093	true
adjacency	T052/T064	true
adjacency	T052/T067	true
adjacency	T052/T080	true
adjacency	T053/T094	true
adjacency	T053/T156	true
adjacency	T054/T056	true
adjacency	T054/T066	true
adjacency	T055/T061	true
adjacency	T055/T072	true
adjacency	T056/T058	true
adjacency	T056/T066	true
adjacency	T056/T069	true
adjacency	T057/T063	true
adjacency	T057/T068	true
adjacency	T057/T081	true
adjacency	T058/T059	true
adjacency	T058/T069	true
adjacency	T058/T085	true
adjacency	T059/T065	true
adjacency	T059/T085	true
adjacency	T059/T097	true
adjacency	T059/T103	true
adjacency	T060/T077	true
adjacency	T060/T083	true
adjacency	T060/T107	true
adjacency	T061/T072	true
adjacency	T061/T079	true
adjacency	T062/T066	true
adjacency	T062/T072	true
adjacency	T062/T074	true
adjacency	T062/T075	true
adjacency	T062/T082	true
adjacency	T062/T087	true
adjacency	T062/T091	true
adjacency	T062/T100	true
adjacency	T063/T081	true
adjacency	T064/T078	true
adjacency	T064/T080	true
adjacency	T064/T116	true
adjacency	T065/T077	true
adjacency	T065/T103	true
adjacency	T065/T118	true
adjacency	T066/T069	true
adjacency	T066/T082	true
adjacency	T066/T086	true
adjacency	T067/T080	true
adjacency	T067/T090	true
adjacency	T067/T101	true
adjacency	T067/T112	true
adjacency	T068/T079	true
adjacency	T069/T086	true
adjacency	T070/T089	true
adjacency	T070/T096	true
adjacency	T072/T079	true
